Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,061055,1862,01,28.6,Y
IDCJAC0002,061055,1862,02,29.4,Y
IDCJAC0002,061055,1862,03,28.1,Y
IDCJAC0002,061055,1862,04,24.1,Y
IDCJAC0002,061055,1862,05,22.4,Y
IDCJAC0002,061055,1862,06,19.1,Y
IDCJAC0002,061055,1862,07,18.6,Y
IDCJAC0002,061055,1862,08,19.6,Y
IDCJAC0002,061055,1862,09,23.4,Y
IDCJAC0002,061055,1862,10,23.9,Y
IDCJAC0002,061055,1862,11,27.1,Y
IDCJAC0002,061055,1862,12,27.6,Y
IDCJAC0002,061055,1863,01,28.1,Y
IDCJAC0002,061055,1863,02,29.1,Y
IDCJAC0002,061055,1863,03,27.1,Y
IDCJAC0002,061055,1863,04,25.6,Y
IDCJAC0002,061055,1863,05,22.2,Y
IDCJAC0002,061055,1863,06,18.9,Y
IDCJAC0002,061055,1863,07,17.6,Y
IDCJAC0002,061055,1863,08,17.2,Y
IDCJAC0002,061055,1863,09,20.4,Y
IDCJAC0002,061055,1863,10,23.6,Y
IDCJAC0002,061055,1863,11,27.4,Y
IDCJAC0002,061055,1863,12,27.3,Y
IDCJAC0002,061055,1864,01,29.3,Y
IDCJAC0002,061055,1864,02,26.8,Y
IDCJAC0002,061055,1864,03,24.9,Y
IDCJAC0002,061055,1864,04,24.7,Y
IDCJAC0002,061055,1864,05,20.7,Y
IDCJAC0002,061055,1864,06,17.9,Y
IDCJAC0002,061055,1864,08,18.8,Y
IDCJAC0002,061055,1867,01,25.2,Y
IDCJAC0002,061055,1867,02,24.9,Y
IDCJAC0002,061055,1867,03,24.7,Y
IDCJAC0002,061055,1867,04,23.0,Y
IDCJAC0002,061055,1867,05,20.4,Y
IDCJAC0002,061055,1867,06,18.3,Y
IDCJAC0002,061055,1867,07,17.2,Y
IDCJAC0002,061055,1867,08,18.1,Y
IDCJAC0002,061055,1867,09,20.3,Y
IDCJAC0002,061055,1867,10,25.6,Y
IDCJAC0002,061055,1867,11,27.7,Y
IDCJAC0002,061055,1867,12,26.3,Y
IDCJAC0002,061055,1868,01,25.1,Y
IDCJAC0002,061055,1868,02,25.1,Y
IDCJAC0002,061055,1868,03,25.9,Y
IDCJAC0002,061055,1868,04,24.3,Y
IDCJAC0002,061055,1868,05,19.9,Y
IDCJAC0002,061055,1868,06,18.1,Y
IDCJAC0002,061055,1868,07,16.7,Y
IDCJAC0002,061055,1868,08,17.3,Y
IDCJAC0002,061055,1868,09,20.8,Y
IDCJAC0002,061055,1868,10,23.8,Y
IDCJAC0002,061055,1868,11,23.1,Y
IDCJAC0002,061055,1868,12,27.4,Y
IDCJAC0002,061055,1869,01,26.7,Y
IDCJAC0002,061055,1869,02,25.4,Y
IDCJAC0002,061055,1869,03,26.4,Y
IDCJAC0002,061055,1869,04,22.9,Y
IDCJAC0002,061055,1869,05,19.6,Y
IDCJAC0002,061055,1869,06,17.5,Y
IDCJAC0002,061055,1869,07,16.5,Y
IDCJAC0002,061055,1869,08,19.8,Y
IDCJAC0002,061055,1869,09,19.1,Y
IDCJAC0002,061055,1869,10,21.9,Y
IDCJAC0002,061055,1869,11,23.7,Y
IDCJAC0002,061055,1869,12,25.6,Y
IDCJAC0002,061055,1870,01,24.3,Y
IDCJAC0002,061055,1870,02,25.7,Y
IDCJAC0002,061055,1870,03,23.2,Y
IDCJAC0002,061055,1870,04,22.8,Y
IDCJAC0002,061055,1870,05,18.8,Y
IDCJAC0002,061055,1870,06,17.4,Y
IDCJAC0002,061055,1870,07,16.6,Y
IDCJAC0002,061055,1870,08,17.3,Y
IDCJAC0002,061055,1870,09,19.1,Y
IDCJAC0002,061055,1870,10,22.7,Y
IDCJAC0002,061055,1870,11,23.8,Y
IDCJAC0002,061055,1870,12,25.1,Y
IDCJAC0002,061055,1871,01,25.6,Y
IDCJAC0002,061055,1871,02,25.9,Y
IDCJAC0002,061055,1871,03,23.7,Y
IDCJAC0002,061055,1871,04,22.7,Y
IDCJAC0002,061055,1871,05,19.8,Y
IDCJAC0002,061055,1871,06,16.9,Y
IDCJAC0002,061055,1871,07,16.7,Y
IDCJAC0002,061055,1871,08,19.4,Y
IDCJAC0002,061055,1871,09,20.4,Y
IDCJAC0002,061055,1871,10,21.6,Y
IDCJAC0002,061055,1871,11,23.4,Y
IDCJAC0002,061055,1871,12,25.4,Y
IDCJAC0002,061055,1872,01,27.6,Y
IDCJAC0002,061055,1872,02,26.0,Y
IDCJAC0002,061055,1872,03,24.6,Y
IDCJAC0002,061055,1872,04,21.7,Y
IDCJAC0002,061055,1872,05,18.6,Y
IDCJAC0002,061055,1872,06,17.8,Y
IDCJAC0002,061055,1872,07,16.6,Y
IDCJAC0002,061055,1872,08,15.8,Y
IDCJAC0002,061055,1872,09,19.3,Y
IDCJAC0002,061055,1872,10,22.4,Y
IDCJAC0002,061055,1872,11,22.8,Y
IDCJAC0002,061055,1872,12,26.5,Y
IDCJAC0002,061055,1873,01,25.2,Y
IDCJAC0002,061055,1873,02,24.9,Y
IDCJAC0002,061055,1873,03,24.6,Y
